zip,lat,lng
07001,40.583961,-74.269704
07002,40.662495,-74.110201
07003,40.809141,-74.187142
07004,40.882508,-74.304593
07005,40.93035,-74.411123
07006,40.851187,-74.282865
07008,40.58379,-74.227457
07009,40.858017,-74.229784
07010,40.822052,-73.987938
07011,40.880427,-74.143246
07012,40.846899,-74.160537
07013,40.869405,-74.173062
07014,40.831339,-74.135419
07016,40.65755,-74.303632
07017,40.771918,-74.207082
07018,40.755733,-74.217917
07020,40.82465,-73.973793
07021,40.828102,-74.276226
07022,40.82111,-74.003032
07023,40.641701,-74.385692
07024,40.85064,-73.971007
07026,40.879797,-74.10825
07027,40.651331,-74.323152
07028,40.804798,-74.204569
07029,40.74362,-74.154901
07030,40.745251,-74.027926
07031,40.786256,-74.12622
07032,40.752332,-74.123093
07033,40.678089,-74.288114
07034,40.87948,-74.380104
07035,40.927501,-74.308334
07036,40.624711,-74.239362
07039,40.785828,-74.3291
07040,40.733607,-74.271159
07041,40.722448,-74.301546
07042,40.813487,-74.219011
07043,40.844837,-74.200502
07044,40.832468,-74.242863
07045,40.906942,-74.365608
07046,40.890853,-74.442032
07047,40.793644,-74.025027
07050,40.76804,-74.235692
07052,40.785755,-74.265058
07054,40.853767,-74.401574
07055,40.857552,-74.129089
07057,40.853084,-74.106323
07058,40.869901,-74.344241
07059,40.634588,-74.519044
07060,40.616667,-74.422042
07062,40.631253,-74.403884
07063,40.605118,-74.444522
07064,40.567422,-74.244933
07065,40.607152,-74.280531
07066,40.62065,-74.309862
07067,40.589329,-74.311415
07068,40.821737,-74.310147
07069,40.642845,-74.436233
07070,40.820314,-74.106041
07071,40.797113,-74.11298
07072,40.826431,-74.062335
07073,40.817097,-74.085024
07074,40.838144,-74.055077
07075,40.850183,-74.087068
07076,40.633029,-74.372899
07077,40.554147,-74.25306
07078,40.742264,-74.327574
07079,40.748811,-74.261512
07080,40.574413,-74.4148
07081,40.697966,-74.334436
07082,40.926724,-74.345512
07083,40.695266,-74.269078
07086,40.76801,-74.017008
07087,40.767224,-74.032429
07088,40.718342,-74.283764
07090,40.651644,-74.343447
07092,40.680722,-74.360292
07093,40.786704,-74.008909
07094,40.781958,-74.067649
07095,40.552857,-74.286939
07102,40.735659,-74.173605
07103,40.738852,-74.195264
07104,40.767713,-74.16835
07105,40.723066,-74.138636
07106,40.741768,-74.230452
07107,40.762918,-74.186559
07108,40.723104,-74.200386
07109,40.793481,-74.161159
07110,40.820616,-74.15625
07111,40.723859,-74.232522
07112,40.711391,-74.211683
07114,40.697812,-74.17081
07201,40.671272,-74.177358
07202,40.652464,-74.216853
07203,40.652211,-74.260158
07204,40.665312,-74.266555
